dest,meas
D04,0.417
G01,0.411
C12,0.434
B04,0.077
A12,0.424
H07,0.406
C08,0.381
C09,0.434
D10,0.410
E06,0.415
F11,0.392
E12,0.413
G02,0.421
G11,0.400
B09,0.423
H09,0.414
H12,0.416
E02,0.057
G07,0.359
A03,0.414
E10,0.409
E08,0.406
C05,0.401
E01,0.396
F02,0.422
G08,0.386
B10,0.396
H03,0.438
G05,0.402
D07,0.382
C07,0.404
F09,0.387
A09,0.381
G06,0.385
B08,0.406
G09,0.384
E11,0.373
D06,0.420
B11,0.370
H11,0.398
D08,0.487
D01,0.013
E04,0.482
F04,0.010
E07,0.487
A07,0.007
C11,0.499
D03,0.015
H08,0.415
A02,0.434
C10,0.425
C01,0.035
D02,0.409
A01,0.416
A11,0.394
F06,0.405
A05,0.375
A10,0.407
C04,0.393
A04,0.411
G04,0.424
F01,0.415
F12,0.419
F05,0.401
C06,0.403
F10,0.074
B01,0.393
C02,0.357
B07,0.360
D05,0.353
C03,0.427
G12,0.394
B05,0.402
E09,0.423
A06,0.427
D11,0.456
G03,0.369
H05,0.411
F03,0.410
A08,0.403
B02,0.405
H02,0.414
F07,0.390
D12,0.413
F08,0.381
H04,0.408
H06,0.406
B06,0.405
H01,0.493
B12,0.002
D09,0.491
B03,0.000
H10,0.489
G10,0.001
E05,0.486
E03,0.008
